objectid,filename,compound,title,format,titleSE,patentnumber,titleJP,patentee,patentee2,patentee3,inventor,location,date,class,latitude,longtitude,subject,description
patent32,,,Apparatus for aerated-oil injection for internal-combustion engines,image/jpg,Anordning för insprutning av luftblandning brännolja i förbränningsmotorer,75171,內燃機關ノ唧筒噴油裝置,Zaidan Hojin Rikagaku Kenkyujo,,,Masatosi Okochi,Tokyo,1927-06-28,"Internal-combustion engines; compressed-air, springactuated and other power engines",35.652832,139.839478,"Internal-combustion engines; compressed-air, springactuated and other power engines",
patent33,,,Improvements in and relating to fluid-pressure power plants using liquid-air,image/jpg,Maskinanläggning för alstring av drivkraft genom cirkulation av flytande luft. (T.P. N:r 85801),80736,,Yoshinosuke Shibukawa,,,,Tokyo,1931-04-15,"Steam engines, steam power plants; accumulators for live and exhaust steam, independent of the steam boiler",35.652832,139.839478,"Steam engines, steam power plants; accumulators for live and exhaust steam, independent of the steam boiler",
patent34,,,Improvements in and relating to fluid-pressure power plants using liquid-air,image/jpg,Maskinanläggning för alstring av drivkraft genom cirkulation av flytande luft (TIllägg till patent 80736),85801,,Yoshinosuke Shibukawa,,,,Tokyo,1933-03-31,"Steam engines, steam power plants; accumulators for live and exhaust steam, independent of the steam boiler",35.652832,139.839478,"Steam engines, steam power plants; accumulators for live and exhaust steam, independent of the steam boiler",
patent35,,,Improvements relating to the casting of metals,image/jpg,Förfaringssätt för att genom gjutning av två olika metaller resp. metallegeringar framställa föremål där den ena metallen utgör kärnan och den andra ett överdrag å densamma,81069,,Ihei Sugimura,Kwanichi Magarisawa,,,Tokyo,1930-02-07,"Furnaces, kilns, ovens, retorts; casting; powder metallurgy",35.652832,139.839478,"Furnaces, kilns, ovens, retorts; casting; powder metallurgy",
patent36,,,Improvements in spindles for net making machines,image/jpg,Anordning vid för nätbindningsmaskiner avsedda spolspindlar,81922,,Yeiiche Okuma,,,,Nagoya,1933-05-11,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",35.183334,136.899994,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent37,,,Improvements in net making machines,image/jpg,Nätbindningsmaskin för framställning av nät utan knutar,83561,,Yeiiche Okuma,,,,Nagoya,1933-05-11,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",35.183334,136.899994,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent38,,,Method of manufacturing magnetic iron and steel,image/jpg,Järn,83693,無碳素含燐鐵,Heihachi Kamura,,,,Fukuoka,1933-08-01,Ferrous metallurgy,33.583332,130.399994,Ferrous metallurgy,
patent39,,,Improvements in electric measuring instruments,image/jpg,Elektriskt mätinstrument,85888,電氣計器,Jisuke Miyazaki,,,,Tokyo,1935-01-19,Electrical engineering,35.652832,139.839478,Electrical engineering,
patent40,,,Automatic telegraph receiving machine,image/jpg,Automatisk telegrafmottagningsapparat,86685,電信自動受信裝置,Yoshito Watanabe,,,,Kobe,1935-01-09,Electrical engineering,34.689999,135.195557,Electrical engineering,
patent41,,,Automatic telegraph receiving machine,image/jpg,Automatisk telegrafmottagningsapparat,89066,電信自動受信裝置,Yoshito Watanabe,,,,Kobe,1935-01-09,Electrical engineering,34.689999,135.195557,Electrical engineering,
patent42,,,Relay system for measuring the time of the continuous flow of an electric current,image/jpg,Reläanordning för uppmätning av en elektrisk ströms varaktighet,90273,,Yoshito Watanabe,,,,Kobe,1936-01-09,Electrical engineering,34.689999,135.195557,Electrical engineering,
patent43,,,Automatic telegraph receiving machine,image/jpg,Automatisk telegrafmottagningsapparat,92603,,Yoshito Watanabe,,,,Kobe,1935-03-26,Electrical engineering,34.689999,135.195557,Electrical engineering,
patent44,,,"Cobalt, chromium and iron containing alloy",image/jpg,"Kobolt, krom och järn innehållande legering",86901,微小ナル熱膨脹係數ヲ有スル合金,Kinzoku Zairyo Kenkyusho,,,Hakaru Masumoto,Sendai,1932-07-22,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",38.268223,140.869415,"Non-ferrous metallurgy, metal alloys, electrometallurgy, refinement of metals and metal alloys",
